,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,-251494.0,-121628.0,-95499.0,-272975.0,0.0
Repayment Of Debt,,0.0,0.0,,
Issuance Of Debt,,0.0,0.0,,
Issuance Of Capital Stock,,0.0,0.0,,
End Cash Position,458393.0,709887.0,831515.0,927014.0,0.0
Beginning Cash Position,709887.0,831515.0,927014.0,0.0,0.0
Changes In Cash,-251494.0,-121628.0,-95499.0,,
Financing Cash Flow,,0.0,0.0,,
Cash Flow From Continuing Financing Activities,,0.0,0.0,,
Net Other Financing Charges,,0.0,0.0,,
Net Common Stock Issuance,,0.0,0.0,,
Common Stock Issuance,,0.0,0.0,,
Net Issuance Payments Of Debt,,0.0,0.0,,
Net Long Term Debt Issuance,,0.0,0.0,,
Long Term Debt Payments,,0.0,0.0,,
Long Term Debt Issuance,,0.0,0.0,,
Investing Cash Flow,,0.0,0.0,,
Cash Flow From Continuing Investing Activities,,0.0,0.0,,
Net Other Investing Changes,,0.0,0.0,,
Operating Cash Flow,-251494.0,-121628.0,-95499.0,-272975.0,0.0
Cash Flow From Continuing Operating Activities,-251494.0,-121628.0,-95499.0,-272975.0,0.0
Change In Working Capital,-53941.0,47156.0,120240.0,-190315.0,6317.0
Change In Payables And Accrued Expense,-17543.0,-2342.0,,,6317.0
Change In Prepaid Assets,-36398.0,49498.0,41294.0,-183998.0,0.0
Other Non Cash Items,,-22900.0,0.0,38500.0,15445.0
Operating Gains Losses,-2276825.0,-2480560.0,-2639785.0,,
Gain Loss On Investment Securities,-2276825.0,-2480560.0,-2639785.0,,
Net Income From Continuing Operations,2079272.0,2334676.0,2424046.0,798203.0,-21762.0
