,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,9900000.0,18200000.0,18000000.0,50600000.0,58000000.0,,
Repurchase Of Capital Stock,-39000000.0,-36400000.0,-7200000.0,-16000000.0,-37800000.0,,
Repayment Of Debt,0.0,0.0,0.0,0.0,0.0,,
Issuance Of Debt,0.0,,,0.0,0.0,,
Issuance Of Capital Stock,0.0,0.0,7400000.0,0.0,6200000.0,,
Capital Expenditure,-11900000.0,-11600000.0,-12200000.0,-6600000.0,-15400000.0,,
End Cash Position,404400000.0,437400000.0,459900000.0,391500000.0,360400000.0,,
Beginning Cash Position,437400000.0,459900000.0,391500000.0,360400000.0,596100000.0,,
Effect Of Exchange Rate Changes,-100000.0,0.0,-200000.0,1200000.0,100000.0,,
Changes In Cash,-32900000.0,-22500000.0,68600000.0,29900000.0,-235800000.0,,
Financing Cash Flow,-42800000.0,-40700000.0,-10400000.0,-18400000.0,-34800000.0,,
Cash Flow From Continuing Financing Activities,-42800000.0,-40700000.0,-10400000.0,-18400000.0,-34800000.0,,
Net Other Financing Charges,-3800000.0,-4300000.0,-10600000.0,-2400000.0,-3200000.0,,
Net Common Stock Issuance,-39000000.0,-36400000.0,200000.0,-16000000.0,-31600000.0,,
Common Stock Payments,-39000000.0,-36400000.0,-7200000.0,-16000000.0,-37800000.0,,
Common Stock Issuance,0.0,0.0,7400000.0,0.0,6200000.0,,
Net Issuance Payments Of Debt,0.0,0.0,0.0,0.0,0.0,,
Net Long Term Debt Issuance,0.0,0.0,0.0,0.0,0.0,,
Long Term Debt Payments,0.0,0.0,0.0,0.0,0.0,,
Long Term Debt Issuance,0.0,,,0.0,0.0,,
Investing Cash Flow,-11900000.0,-11600000.0,48800000.0,-8900000.0,-274400000.0,,
Cash Flow From Continuing Investing Activities,-11900000.0,-11600000.0,48800000.0,-8900000.0,-274400000.0,,
Net Investment Purchase And Sale,0.0,0.0,61000000.0,0.0,-61000000.0,,
Sale Of Investment,0.0,0.0,61000000.0,0.0,0.0,,
Purchase Of Investment,,,,0.0,-61000000.0,0.0,0.0
Net Business Purchase And Sale,0.0,,,-2300000.0,-198000000.0,,
Purchase Of Business,0.0,,,-2300000.0,-198000000.0,,
Net Intangibles Purchase And Sale,,,,0.0,-10000000.0,0.0,0.0
Purchase Of Intangibles,,,,0.0,-10000000.0,0.0,0.0
Net PPE Purchase And Sale,-11900000.0,-11600000.0,-12200000.0,-6600000.0,-5400000.0,,
Purchase Of PPE,-11900000.0,-11600000.0,-12200000.0,-6600000.0,-5400000.0,,
Operating Cash Flow,21800000.0,29800000.0,30200000.0,57200000.0,73400000.0,,
Cash Flow From Continuing Operating Activities,21800000.0,29800000.0,30200000.0,57200000.0,73400000.0,,
Change In Working Capital,-41500000.0,-33500000.0,-26800000.0,3900000.0,31500000.0,,
Change In Other Working Capital,,,,,,,700000.0
Change In Other Current Assets,,,,,10200000.0,1700000.0,3400000.0
Change In Payables And Accrued Expense,-12200000.0,-2300000.0,-38600000.0,15900000.0,18200000.0,,
Change In Accrued Expense,1500000.0,-4100000.0,-31600000.0,8700000.0,10000000.0,,
Change In Payable,-13700000.0,1800000.0,-7000000.0,7200000.0,8200000.0,,
Change In Account Payable,-13700000.0,1800000.0,-7000000.0,7500000.0,8200000.0,,
Change In Tax Payable,,,,-300000.0,3200000.0,,
Change In Income Tax Payable,,,,-300000.0,3200000.0,,
Change In Prepaid Assets,2900000.0,-2500000.0,3900000.0,9200000.0,12300000.0,,
Change In Inventory,-2400000.0,-15500000.0,-2900000.0,-7600000.0,-13500000.0,,
Change In Receivables,-29800000.0,-13200000.0,10800000.0,1700000.0,14500000.0,,
Changes In Account Receivables,-29800000.0,-13200000.0,10800000.0,1700000.0,14500000.0,,
Other Non Cash Items,3400000.0,3100000.0,2400000.0,7900000.0,3900000.0,,
Stock Based Compensation,39700000.0,38700000.0,36700000.0,31100000.0,19900000.0,,
Asset Impairment Charge,,,,0.0,,,
Deferred Tax,-5700000.0,-5300000.0,-4200000.0,-22100000.0,-12100000.0,,
Deferred Income Tax,-5700000.0,-5300000.0,-4200000.0,-22100000.0,-12100000.0,,
Depreciation Amortization Depletion,33900000.0,41600000.0,42700000.0,41100000.0,38200000.0,,
Depreciation And Amortization,33900000.0,41600000.0,42700000.0,41100000.0,38200000.0,,
Amortization Cash Flow,26000000.0,34000000.0,35200000.0,34000000.0,31000000.0,,
Amortization Of Intangibles,26000000.0,34000000.0,35200000.0,34000000.0,31000000.0,,
Depreciation,7900000.0,7600000.0,7500000.0,7100000.0,7200000.0,,
Net Income From Continuing Operations,-8000000.0,-14800000.0,-20600000.0,-4700000.0,-21800000.0,,
