,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-1119650.0,-4611711.0,-1164003.0,-1113715.0,-1310409.0,
Repayment Of Debt,,0.0,0.0,0.0,0.0,0.0
Issuance Of Capital Stock,263747.0,4580039.0,149466.0,857415.0,145803.0,
Capital Expenditure,,-3000000.0,,,-17280.0,
Interest Paid Supplemental Data,12051.0,12860.0,-26177.0,54310.0,14855.0,
Income Tax Paid Supplemental Data,0.0,0.0,,,0.0,0.0
End Cash Position,356462.0,762365.0,794036.0,1808574.0,2064874.0,
Beginning Cash Position,762365.0,794036.0,1808574.0,2064874.0,3229480.0,
Changes In Cash,-405903.0,-31671.0,-1014538.0,-256300.0,-1164606.0,
Financing Cash Flow,263747.0,4580039.0,149466.0,857415.0,145803.0,
Cash Flow From Continuing Financing Activities,263747.0,4580039.0,149466.0,857415.0,145803.0,
Proceeds From Stock Option Exercised,,0.0,0.0,0.0,0.0,-1.0
Net Common Stock Issuance,263747.0,4580039.0,149466.0,857415.0,145803.0,
Common Stock Issuance,263747.0,4580039.0,149466.0,857415.0,145803.0,
Net Issuance Payments Of Debt,,0.0,0.0,0.0,0.0,0.0
Net Short Term Debt Issuance,,,,,,0.0
Short Term Debt Payments,,,,,,0.0
Net Long Term Debt Issuance,,0.0,0.0,0.0,0.0,0.0
Long Term Debt Payments,,0.0,0.0,0.0,0.0,0.0
Investing Cash Flow,450000.0,-3000000.0,0.0,0.0,-17280.0,
Cash Flow From Continuing Investing Activities,450000.0,-3000000.0,0.0,0.0,-17280.0,
Net Intangibles Purchase And Sale,450000.0,,,,0.0,
Sale Of Intangibles,450000.0,,,,0.0,
Net PPE Purchase And Sale,0.0,0.0,0.0,0.0,-17280.0,
Sale Of PPE,,0.0,0.0,0.0,0.0,0.0
Purchase Of PPE,0.0,0.0,0.0,0.0,-17280.0,
Operating Cash Flow,-1119650.0,-1611711.0,-1164003.0,-1113715.0,-1293129.0,
Cash Flow From Continuing Operating Activities,-1119652.0,-1611711.0,-1164003.0,-1113715.0,-1293129.0,
Change In Working Capital,439579.0,-33845.0,-19429.0,52756.0,23134.0,
Change In Other Current Liabilities,-31146.0,-32977.0,-32163.0,-26996.0,2884.0,
Change In Payables And Accrued Expense,79908.0,-49937.0,223095.0,8733.0,-68604.0,
Change In Prepaid Assets,390817.0,49069.0,-210361.0,71019.0,88854.0,
Change In Inventory,,0.0,0.0,0.0,0.0,329476.0
Other Non Cash Items,-11058.0,,,,,
Stock Based Compensation,574451.0,12878.0,144722.0,88763.0,83046.0,
Provisionand Write Offof Assets,,0.0,0.0,0.0,0.0,2382447.0
Asset Impairment Charge,-859761.0,0.0,0.0,0.0,0.0,
Depreciation Amortization Depletion,39715.0,39532.0,39389.0,32790.0,45583.0,
Depreciation And Amortization,39715.0,39532.0,39389.0,32790.0,45583.0,
Depreciation,39715.0,39532.0,39389.0,32790.0,45583.0,
Operating Gains Losses,8857.0,548893.0,267274.0,-62112.0,-408562.0,
Gain Loss On Investment Securities,8857.0,548893.0,267274.0,-62112.0,-408562.0,
Net Income From Continuing Operations,-1311433.0,-3169209.0,-1595959.0,-1225912.0,-1036330.0,
