,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-2691190.0,-1668899.0,-1200522.0,-1909615.0,-2589070.0,
Repurchase Of Capital Stock,0.0,0.0,0.0,0.0,-1213590.0,
Repayment Of Debt,,0.0,0.0,0.0,0.0,0.0
Issuance Of Debt,,,,,,0.0
Issuance Of Capital Stock,1036000.0,535041.0,0.0,0.0,19722472.0,
Capital Expenditure,-49345.0,-41461.0,-40150.0,-44003.0,-78288.0,
Interest Paid Supplemental Data,0.0,,,,0.0,
Income Tax Paid Supplemental Data,0.0,,,,0.0,
End Cash Position,19029976.0,12040789.0,11366336.0,12850657.0,14760272.0,
Beginning Cash Position,12040789.0,11366336.0,12850657.0,14760272.0,463661.0,
Changes In Cash,6989187.0,674453.0,-1484321.0,-1909615.0,14296611.0,
Financing Cash Flow,9680377.0,2343352.0,-283798.0,-1.0,16885681.0,
Cash Flow From Continuing Financing Activities,9680377.0,2343352.0,-283798.0,-1.0,16885681.0,
Net Other Financing Charges,-679605.0,-164646.0,-283798.0,-1.0,-1959642.0,
Proceeds From Stock Option Exercised,9323982.0,1972957.0,0.0,0.0,336441.0,
Net Preferred Stock Issuance,0.0,0.0,0.0,0.0,-1213590.0,
Preferred Stock Payments,0.0,0.0,0.0,0.0,-1213590.0,
Preferred Stock Issuance,,0.0,,,,0.0
Net Common Stock Issuance,1036000.0,535041.0,0.0,0.0,19722472.0,
Common Stock Issuance,1036000.0,535041.0,0.0,0.0,19722472.0,
Net Issuance Payments Of Debt,,0.0,0.0,0.0,0.0,0.0
Net Short Term Debt Issuance,,,0.0,,,
Short Term Debt Payments,,,0.0,,,
Net Long Term Debt Issuance,,,,,0.0,
Long Term Debt Payments,,,,,0.0,
Investing Cash Flow,-49345.0,-41461.0,-40151.0,-44002.0,-78288.0,
Cash Flow From Continuing Investing Activities,-49345.0,-41461.0,-40150.0,-44003.0,-78288.0,
Net Intangibles Purchase And Sale,-49345.0,-27735.0,-32829.0,-43522.0,-78288.0,
Purchase Of Intangibles,,,,,-78288.0,
Net PPE Purchase And Sale,,-13726.0,-7321.0,,,
Operating Cash Flow,-2641845.0,-1627438.0,-1160372.0,-1865612.0,-2510782.0,
Cash Flow From Continuing Operating Activities,-2641845.0,-1627438.0,-1160372.0,-1865612.0,-2510782.0,
Change In Working Capital,146145.0,196065.0,470813.0,-345732.0,-679048.0,
Change In Other Current Liabilities,,,0.0,,,
Change In Payables And Accrued Expense,136805.0,13570.0,413899.0,-152716.0,-637358.0,
Change In Accrued Expense,-105390.0,-1796.0,359669.0,100187.0,-622024.0,
Change In Payable,242195.0,15366.0,54230.0,-252903.0,-15334.0,
Change In Account Payable,242195.0,15366.0,54230.0,-252903.0,-15334.0,
Change In Prepaid Assets,20243.0,180157.0,68011.0,-191270.0,-40841.0,
Change In Receivables,-10903.0,2338.0,-11097.0,-1746.0,-849.0,
Changes In Account Receivables,-10903.0,2338.0,-11097.0,-1746.0,-849.0,
Other Non Cash Items,,48087.0,0.0,0.0,58272.0,394240.0
Stock Based Compensation,4694.0,4365.0,16746.0,28360.0,55897.0,
Depreciation Amortization Depletion,60909.0,61313.0,58364.0,52562.0,55167.0,
Depreciation And Amortization,60909.0,61313.0,58364.0,52562.0,55167.0,
Operating Gains Losses,-18.0,-48126.0,-1.0,-45.0,36366.0,
Gain Loss On Investment Securities,-18.0,-48126.0,-1.0,-45.0,36366.0,
Net Income From Continuing Operations,-2853575.0,-1889142.0,-1706294.0,-1600757.0,-2037436.0,
