,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-2453309.0,-4029734.0,-2626654.0,-3355055.0,-2526924.0,
Repayment Of Debt,0.0,0.0,-65326.0,-63404.0,-61540.0,
Issuance Of Debt,,,,,,790000.0
Issuance Of Capital Stock,3225000.0,0.0,0.0,4080000.0,5409673.0,
Capital Expenditure,-36000.0,,,,,
Interest Paid Supplemental Data,0.0,-49706.0,138849.0,0.0,36153.0,
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0,
End Cash Position,1089946.0,334005.0,2094643.0,4817672.0,4512607.0,
Beginning Cash Position,334005.0,2094643.0,4817672.0,4512607.0,1920144.0,
Changes In Cash,755941.0,-1760638.0,-2723029.0,305065.0,2592463.0,
Financing Cash Flow,3209250.0,2269096.0,-96375.0,3660120.0,5119387.0,
Cash Flow From Continuing Financing Activities,3209250.0,2269096.0,-96375.0,3660120.0,5119387.0,
Net Other Financing Charges,-15750.0,0.0,-31199.0,-347715.0,-178745.0,
Interest Paid Cff,0.0,4262.0,0.0,-28413.0,-50001.0,
Proceeds From Stock Option Exercised,,2264834.0,150.0,,,
Cash Dividends Paid,0.0,0.0,0.0,0.0,0.0,
Net Common Stock Issuance,3225000.0,0.0,0.0,4080000.0,5409673.0,
Common Stock Issuance,3225000.0,0.0,0.0,4080000.0,5409673.0,
Net Issuance Payments Of Debt,0.0,0.0,-65326.0,-63404.0,-61540.0,
Net Short Term Debt Issuance,0.0,0.0,-65326.0,-63404.0,-61540.0,
Short Term Debt Payments,0.0,0.0,-65326.0,-63404.0,-61540.0,
Short Term Debt Issuance,,,,,,0.0
Net Long Term Debt Issuance,,,,,,790000.0
Long Term Debt Payments,,,,,,0.0
Long Term Debt Issuance,,,,,,790000.0
Investing Cash Flow,-36000.0,-3056722.0,0.0,0.0,0.0,
Cash Flow From Continuing Investing Activities,-36000.0,-3056722.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,,0.0,0.0,0.0,0.0,0.0
Sale Of Investment,,0.0,0.0,0.0,0.0,0.0
Purchase Of Investment,,0.0,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,,,,,,0.0
Purchase Of PPE,,,,,,0.0
Capital Expenditure Reported,-36000.0,,,,0.0,
Operating Cash Flow,-2417309.0,-973012.0,-2626654.0,-3355055.0,-2526924.0,
Cash Flow From Continuing Operating Activities,-2417309.0,-973012.0,-2626654.0,-3355055.0,-2526924.0,
Interest Paid Cfo,0.0,-27482.0,-27480.0,-29321.0,-31056.0,
Change In Working Capital,-869054.0,548157.0,-467322.0,537068.0,-77286.0,
Change In Other Working Capital,-904.0,-904.0,-905.0,-441.0,-209.0,
Change In Payables And Accrued Expense,335951.0,-453303.0,330608.0,464964.0,78940.0,
Change In Accrued Expense,0.0,0.0,-590.0,-618.0,-577.0,
Change In Interest Payable,0.0,0.0,-590.0,-618.0,-577.0,
Change In Payable,335951.0,-453303.0,331198.0,465582.0,79517.0,
Change In Account Payable,335951.0,-453303.0,331198.0,465582.0,79517.0,
Change In Prepaid Assets,-1204101.0,1002364.0,-797025.0,72545.0,-156017.0,
Change In Receivables,,0.0,0.0,0.0,0.0,4.0
Other Non Cash Items,12122.0,13921.0,18182.0,23392.0,6535.0,
Stock Based Compensation,35018.0,214750.0,134318.0,46853.0,537046.0,
Unrealized Gain Loss On Investment Securities,0.0,60433.0,64369.0,-213930.0,92479.0,
Depreciation Amortization Depletion,633340.0,289070.0,1008.0,-979.0,1008.0,
Depreciation And Amortization,633340.0,289070.0,1008.0,-979.0,1008.0,
Depreciation,633340.0,289070.0,1008.0,-979.0,1008.0,
Operating Gains Losses,-76264.0,433799.0,-2427.0,-11673.0,-2643.0,
Gain Loss On Investment Securities,-76264.0,91149.0,-2427.0,-11673.0,-2643.0,
Net Income From Continuing Operations,-2152471.0,-2614895.0,-2347302.0,-3706465.0,-3053007.0,
