,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,5837771.0,-4341703.0,4006826.0,4721145.0,838534.0,
Repurchase Of Capital Stock,,0.0,0.0,0.0,0.0,0.0
Repayment Of Debt,-5000000.0,,,,,
Capital Expenditure,-4264748.0,-4064686.0,,-3627029.0,-7744042.0,-4641567.0
Interest Paid Supplemental Data,42347.0,0.0,383.0,8895.0,657.0,
Income Tax Paid Supplemental Data,10933.0,-22724.0,517860.0,1596685.0,85163.0,
End Cash Position,8465858.0,9512954.0,13236167.0,10377653.0,7362735.0,
Beginning Cash Position,9512954.0,13236167.0,10377653.0,7362735.0,6989793.0,
Effect Of Exchange Rate Changes,-2319.0,31588.0,-42676.0,-75496.0,-50116.0,
Changes In Cash,-1044777.0,-3754801.0,2901190.0,3090414.0,423058.0,
Financing Cash Flow,-6884373.0,47812807.0,-1378515.0,-1375760.0,-1375612.0,
Cash Flow From Continuing Financing Activities,-6884373.0,47812807.0,-1378515.0,-1375760.0,-1375612.0,
Cash Dividends Paid,-1884373.0,-1868336.0,-1378515.0,-1375760.0,-1375612.0,
Common Stock Dividend Paid,-1884373.0,-1868336.0,-1378515.0,-1375760.0,-1375612.0,
Net Common Stock Issuance,,0.0,0.0,0.0,0.0,0.0
Common Stock Payments,,0.0,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,-5000000.0,,,,,
Net Long Term Debt Issuance,-5000000.0,,,,,
Long Term Debt Payments,-5000000.0,,,,,
Investing Cash Flow,-4262923.0,-51290591.0,313755.0,-3882000.0,-6783906.0,
Cash Flow From Continuing Investing Activities,-4262923.0,-51290591.0,313755.0,-3882000.0,-6783906.0,
Net Other Investing Changes,,-241547.0,272879.0,-254971.0,960136.0,-982717.0
Net Investment Purchase And Sale,,0.0,0.0,0.0,0.0,0.0
Sale Of Investment,,0.0,0.0,0.0,0.0,0.0
Purchase Of Investment,,0.0,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-4262923.0,-1294198.0,40876.0,-3627029.0,-7744042.0,
Sale Of PPE,1825.0,,,,0.0,0.0
Purchase Of PPE,-4264748.0,-4064686.0,40876.0,-3627029.0,-7744042.0,
Operating Cash Flow,10102519.0,-277017.0,3965950.0,8348174.0,8582576.0,
Cash Flow From Continuing Operating Activities,10102519.0,-277017.0,3965950.0,8348174.0,8582576.0,
Change In Working Capital,-2374054.0,-9751821.0,86.0,3264648.0,-25897.0,
Change In Other Working Capital,112036.0,181122.0,-576932.0,243805.0,141640.0,
Change In Payables And Accrued Expense,-1813998.0,-5042689.0,-404666.0,1492751.0,1013716.0,
Change In Payable,-1813998.0,-5042689.0,-404666.0,1492751.0,1013716.0,
Change In Account Payable,-1813998.0,-2510003.0,-364431.0,-157844.0,91390.0,
Change In Tax Payable,0.0,,-40235.0,1650595.0,922326.0,
Change In Income Tax Payable,0.0,,-40235.0,1650595.0,922326.0,
Change In Prepaid Assets,-10164.0,-1973348.0,0.0,-978542.0,978542.0,
Change In Receivables,-661928.0,-2916906.0,981684.0,2506634.0,-2159795.0,
Changes In Account Receivables,-661928.0,-2916906.0,981684.0,2506634.0,-2159795.0,
Other Non Cash Items,-997752.0,508907.0,807648.0,306660.0,-416643.0,
Stock Based Compensation,547527.0,596628.0,376613.0,385838.0,385838.0,
Asset Impairment Charge,0.0,1260000.0,0.0,2670000.0,6669.0,
Deferred Tax,265205.0,793531.0,103153.0,-458224.0,-321452.0,
Deferred Income Tax,265205.0,793531.0,103153.0,-458224.0,-321452.0,
Depreciation Amortization Depletion,3002339.0,2922347.0,2570462.0,3201654.0,3475857.0,
Operating Gains Losses,8929829.0,15832044.0,-964307.0,-2573863.0,1462170.0,
Gain Loss On Investment Securities,8929829.0,-3424486.0,-964307.0,-2573863.0,1462170.0,
Gain Loss On Sale Of PPE,,,,,,0.0
Net Income From Continuing Operations,729425.0,-12438653.0,1072295.0,1551461.0,4016034.0,
